;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
100;628;744;0.000426;6.280000;7.440000;4950;198;0.000075;49.500000;1.980000;2410;2410;0.000034;24.100000;24.100000;1371;1171;0.000061;13.710000;11.710000;706;720;0.000113;7.060000;7.200000
200;1547;1848;0.000850;7.735000;9.240000;19900;398;0.000252;99.500000;1.990000;9732;9732;0.000140;48.660000;48.660000;3133;2733;0.000129;15.665000;13.665000;1668;1718;0.000222;8.340000;8.590000
300;2550;2979;0.000685;8.500000;9.930000;44850;598;0.000268;149.500000;1.993333;21935;21935;0.000134;73.116669;73.116669;5041;4441;0.000107;16.803333;14.803333;2688;2691;0.000176;8.960000;8.970000
400;3616;4121;0.000552;9.040000;10.302500;79800;798;0.000271;199.500000;1.995000;38732;38732;0.000147;96.830002;96.830002;7051;6251;0.000090;17.627501;15.627500;3759;3790;0.000146;9.397500;9.475000
500;4778;5691;0.000621;9.556000;11.382000;124750;998;0.000348;249.500000;1.996000;59179;59179;0.000178;118.358002;118.358002;9124;8124;0.000101;18.247999;16.247999;4957;5210;0.000170;9.914000;10.420000
600;5980;7001;0.000725;9.966666;11.668333;179700;1198;0.000519;299.500000;1.996667;88098;88098;0.000318;146.830002;146.830002;11260;10060;0.000132;18.766666;16.766666;6137;6129;0.000205;10.228333;10.215000
700;7185;8040;0.000817;10.264286;11.485714;244650;1398;0.000654;349.500000;1.997143;118710;118710;0.000440;169.585709;169.585709;13493;12093;0.000156;19.275715;17.275715;7312;7130;0.000219;10.445714;10.185715
800;8368;9772;0.000929;10.460000;12.215000;319600;1598;0.000845;399.500000;1.997500;153725;153725;0.000543;192.156250;192.156250;15719;14119;0.000179;19.648750;17.648750;8471;8823;0.000240;10.588750;11.028750
900;9791;10580;0.001042;10.878889;11.755555;404550;1798;0.001056;449.500000;1.997778;198066;198066;0.000673;220.073334;220.073334;17981;16181;0.000197;19.978889;17.978889;9716;9912;0.000284;10.795555;11.013333
1000;10849;11917;0.001156;10.849000;11.917000;499500;1998;0.001389;499.500000;1.998000;241250;241250;0.000833;241.250000;241.250000;20247;18247;0.000253;20.247000;18.247000;11043;11237;0.000345;11.043000;11.237000
1100;12277;13491;0.001225;11.160909;12.264545;604450;2198;0.001599;549.500000;1.998182;292536;292536;0.000908;265.941803;265.941803;22586;20386;0.000238;20.532728;18.532728;12392;12417;0.000345;11.265454;11.288182
1200;13850;15044;0.001393;11.541667;12.536667;719400;2398;0.001878;599.500000;1.998333;345507;345507;0.001099;287.922485;287.922485;24961;22561;0.000297;20.800833;18.800833;13601;13199;0.000386;11.334167;10.999166
1300;14665;16756;0.001491;11.280769;12.889231;844350;2598;0.002297;649.500000;1.998461;406882;406882;0.001265;312.986145;312.986145;27345;24745;0.000300;21.034615;19.034615;14779;14641;0.000456;11.368462;11.262308
1400;15907;17846;0.001544;11.362143;12.747143;979300;2798;0.002567;699.500000;1.998571;472117;472117;0.001418;337.226440;337.226440;29746;26946;0.000331;21.247143;19.247143;16222;16007;0.000455;11.587143;11.433572
1500;17617;19225;0.001728;11.744667;12.816667;1124250;2998;0.002961;749.500000;1.998667;543981;543981;0.001638;362.653992;362.653992;32191;29191;0.000370;21.460667;19.460667;17653;18051;0.000522;11.768666;12.034000
1600;19005;21827;0.001870;11.878125;13.641875;1279200;3198;0.003335;799.500000;1.998750;612619;612619;0.001859;382.886871;382.886871;34637;31437;0.000441;21.648125;19.648125;18654;18996;0.000554;11.658750;11.872500
1700;20032;22692;0.001973;11.783529;13.348235;1444150;3398;0.003671;849.500000;1.998824;688301;688301;0.002131;404.882935;404.882935;37091;33691;0.000397;21.818235;19.818235;20223;20431;0.000548;11.895883;12.018235
1800;21538;24341;0.002043;11.965555;13.522778;1619100;3598;0.004202;899.500000;1.998889;778217;778217;0.002439;432.342773;432.342773;39569;35969;0.000446;21.982779;19.982779;21442;21702;0.000673;11.912222;12.056666
1900;23177;25193;0.002257;12.198421;13.259474;1804050;3798;0.004798;949.500000;1.998947;863803;863803;0.002781;454.633148;454.633148;42032;38232;0.000452;22.122105;20.122105;23001;22780;0.000616;12.105789;11.989473
2000;24813;26399;0.002304;12.406500;13.199500;1999000;3998;0.005271;999.500000;1.999000;963368;963368;0.003004;481.683990;481.683990;44439;40439;0.000542;22.219500;20.219500;24331;25082;0.000673;12.165500;12.541000
2100;26790;29525;0.002434;12.757143;14.059524;2203950;4198;0.005880;1049.500000;1.999048;1060822;1060822;0.003302;505.153320;505.153320;47035;42835;0.000559;22.397619;20.397619;25743;26371;0.000701;12.258572;12.557619
2200;27526;30086;0.002623;12.511818;13.675454;2418900;4398;0.006328;1099.500000;1.999091;1173571;1173571;0.003591;533.441345;533.441345;49510;45110;0.000544;22.504545;20.504545;27513;27880;0.000734;12.505909;12.672728
2300;28933;33095;0.002731;12.579565;14.389131;2643850;4598;0.006857;1149.500000;1.999130;1275511;1275511;0.003895;554.570007;554.570007;52117;47517;0.000633;22.659565;20.659565;28671;29816;0.000809;12.465652;12.963478
2400;30612;34690;0.002611;12.755000;14.454166;2878800;4798;0.007437;1199.500000;1.999167;1389540;1389540;0.004494;578.974976;578.974976;54687;49887;0.000620;22.786249;20.786249;30110;31136;0.000788;12.545834;12.973333
2500;32199;34571;0.002807;12.879600;13.828400;3123750;4998;0.007974;1249.500000;1.999200;1500904;1500904;0.004963;600.361572;600.361572;57296;52296;0.000620;22.918400;20.918400;31721;32192;0.000850;12.688400;12.876800
2600;33322;37081;0.003014;12.816154;14.261923;3378700;5198;0.009468;1299.500000;1.999231;1626687;1626687;0.005286;625.648865;625.648865;59889;54689;0.000686;23.034231;21.034231;33527;33373;0.000882;12.895000;12.835770
2700;35557;38815;0.003087;13.169259;14.375926;3643650;5398;0.009947;1349.500000;1.999259;1760919;1760919;0.005765;652.192200;652.192200;62479;57079;0.000676;23.140371;21.140371;34821;34692;0.000917;12.896667;12.848889
2800;37109;40908;0.003322;13.253214;14.610000;3918600;5598;0.010642;1399.500000;1.999286;1886589;1886589;0.006086;673.781799;673.781799;65144;59544;0.000740;23.265715;21.265715;35745;36394;0.000984;12.766071;12.997857
2900;37599;42061;0.003382;12.965173;14.503793;4203550;5798;0.011050;1449.500000;1.999310;2028704;2028704;0.006446;699.553101;699.553101;67727;61927;0.000749;23.354137;21.354137;37226;38081;0.001018;12.836552;13.131379
3000;37998;41894;0.003594;12.666000;13.964666;4498500;5998;0.012199;1499.500000;1.999333;2149723;2149723;0.007543;716.574341;716.574341;70445;64445;0.000790;23.481667;21.481667;38794;38596;0.001034;12.931334;12.865334
3100;40380;44923;0.003588;13.025806;14.491290;4803450;6198;0.013681;1549.500000;1.999355;2316247;2316247;0.007990;747.176453;747.176453;73076;66876;0.000860;23.572903;21.572903;40376;41059;0.001117;13.024516;13.244839
3200;44082;48249;0.003865;13.775625;15.077812;5118400;6398;0.015253;1599.500000;1.999375;2452084;2452084;0.010867;766.276245;766.276245;75682;69282;0.000852;23.650625;21.650625;41724;41301;0.001146;13.038750;12.906563
3300;43301;47016;0.003780;13.121515;14.247272;5443350;6598;0.016176;1649.500000;1.999394;2624197;2624197;0.010894;795.211182;795.211182;78311;71711;0.000860;23.730606;21.730606;43073;42686;0.001135;13.052424;12.935151
3400;45534;47879;0.003891;13.392353;14.082059;5778300;6798;0.015119;1699.500000;1.999412;2782850;2782850;0.010093;818.485291;818.485291;80965;74165;0.000889;23.813236;21.813236;44679;44663;0.001185;13.140882;13.136176
3500;47059;52831;0.004114;13.445429;15.094571;6123250;6998;0.016438;1749.500000;1.999429;2950666;2950666;0.009910;843.047424;843.047424;83653;76653;0.000929;23.900858;21.900858;46420;47678;0.001220;13.262857;13.622286
3600;49345;56169;0.004269;13.706944;15.602500;6478200;7198;0.017398;1799.500000;1.999444;3105524;3105524;0.009880;862.645569;862.645569;86259;79059;0.000955;23.960833;21.960833;47294;48939;0.001253;13.137222;13.594167
3700;51721;56466;0.004613;13.978648;15.261081;6843150;7398;0.019487;1849.500000;1.999460;3294267;3294267;0.011287;890.342407;890.342407;88934;81534;0.001058;24.036217;22.036217;49563;48927;0.001394;13.395406;13.223514
3800;51076;57985;0.004748;13.441052;15.259211;7218100;7598;0.020172;1899.500000;1.999474;3493051;3493051;0.011831;919.223938;919.223938;91596;83996;0.001112;24.104210;22.104210;50891;51859;0.001436;13.392368;13.647105
3900;53644;59309;0.004678;13.754871;15.207436;7603050;7798;0.020592;1949.500000;1.999487;3657581;3657581;0.012168;937.841309;937.841309;94283;86483;0.001086;24.175129;22.175129;51775;52804;0.001415;13.275641;13.539487
4000;53371;59212;0.004799;13.342750;14.803000;7998000;7998;0.021646;1999.500000;1.999500;3846938;3846938;0.012404;961.734497;961.734497;96966;88966;0.001125;24.241501;22.241501;53510;54536;0.001506;13.377500;13.634000
4100;56694;63294;0.004970;13.827805;15.437561;8402950;8198;0.022758;2049.500000;1.999512;4029444;4029444;0.012893;982.791199;982.791199;99607;91407;0.001192;24.294390;22.294390;54977;56078;0.001511;13.409024;13.677561
4200;57288;59693;0.005179;13.640000;14.212619;8817900;8398;0.024308;2099.500000;1.999524;4233227;4233227;0.014158;1007.911194;1007.911194;102396;93996;0.001199;24.379999;22.379999;56601;55576;0.001541;13.476429;13.232381
4300;58299;63730;0.005520;13.557907;14.820930;9242850;8598;0.027439;2149.500000;1.999535;4450208;4450208;0.015657;1034.932129;1034.932129;105132;96532;0.001328;24.449303;22.449303;57965;60270;0.001684;13.480232;14.016279
4400;61995;67406;0.006040;14.089773;15.319546;9677800;8798;0.030725;2199.500000;1.999545;4652304;4652304;0.021022;1057.341797;1057.341797;107923;99123;0.001424;24.527954;22.527954;58829;57932;0.001787;13.370227;13.166364
4500;62883;69595;0.006380;13.974000;15.465555;10122750;8998;0.032533;2249.500000;1.999556;4885183;4885183;0.019916;1085.596191;1085.596191;110659;101659;0.001557;24.590889;22.590889;61354;63525;0.002027;13.634222;14.116667
4600;63402;68575;0.005948;13.783044;14.907609;10577700;9198;0.030788;2299.500000;1.999565;5085327;5085327;0.018286;1105.505859;1105.505859;113473;104273;0.001415;24.668043;22.668043;62872;62910;0.001792;13.667826;13.676087
4700;66197;71530;0.005736;14.084468;15.219149;11042650;9398;0.030153;2349.500000;1.999574;5308750;5308750;0.019040;1129.521240;1129.521240;116235;106835;0.001329;24.730850;22.730850;64862;65102;0.001765;13.800426;13.851489
4800;65531;70187;0.005639;13.652291;14.622292;11517600;9598;0.030792;2399.500000;1.999583;5556161;5556161;0.018391;1157.533569;1157.533569;118950;109350;0.001348;24.781250;22.781250;65684;67252;0.001719;13.684167;14.010834
4900;70018;77181;0.006088;14.289388;15.751225;12002550;9798;0.033307;2449.500000;1.999592;5806133;5806133;0.020372;1184.925049;1184.925049;121757;111957;0.001427;24.848368;22.848368;67971;68900;0.001839;13.871633;14.061225
5000;71191;77671;0.006134;14.238200;15.534200;12497500;9998;0.034426;2499.500000;1.999600;6015728;6015728;0.020053;1203.145630;1203.145630;124584;114584;0.001459;24.916800;22.916800;69735;68013;0.001826;13.947000;13.602600
5100;73304;77541;0.006196;14.373333;15.204118;13002450;10198;0.035408;2549.500000;1.999608;6289644;6289644;0.020670;1233.263550;1233.263550;127386;117186;0.001482;24.977648;22.977648;71345;71170;0.001905;13.989216;13.954902
5200;76005;81170;0.006439;14.616346;15.609615;13517400;10398;0.038414;2599.500000;1.999615;6523719;6523719;0.022760;1254.561401;1254.561401;130198;119798;0.001545;25.038076;23.038076;71744;72998;0.001944;13.796923;14.038077
5300;77212;81817;0.006534;14.568302;15.437170;14042350;10598;0.039712;2649.500000;1.999623;6766910;6766910;0.024554;1276.775513;1276.775513;133028;122428;0.001631;25.099623;23.099623;73346;74854;0.002054;13.838868;14.123396
5400;78198;84779;0.007114;14.481112;15.699815;14577300;10798;0.043476;2699.500000;1.999630;7027083;7027083;0.027367;1301.311646;1301.311646;135839;125039;0.001743;25.155371;23.155371;75650;75343;0.002210;14.009259;13.952408
5500;79220;87553;0.006998;14.403636;15.918727;15122250;10998;0.043655;2749.500000;1.999636;7284215;7284215;0.025764;1324.402710;1324.402710;138663;127663;0.001686;25.211454;23.211454;76837;77688;0.002120;13.970364;14.125091
5600;81512;85935;0.006933;14.555715;15.345535;15677200;11198;0.043657;2799.500000;1.999643;7532686;7532686;0.027513;1345.122559;1345.122559;141532;130332;0.001744;25.273571;23.273571;78170;76965;0.002053;13.958928;13.743750
5700;80469;86037;0.006849;14.117369;15.094211;16242150;11398;0.045801;2849.500000;1.999649;7830932;7830932;0.026392;1373.847778;1373.847778;144272;132872;0.001715;25.310877;23.310877;81136;77832;0.002084;14.234385;13.654737
5800;84936;91016;0.007904;14.644138;15.692413;16817100;11598;0.053694;2899.500000;1.999655;8090393;8090393;0.030822;1394.895386;1394.895386;147097;135497;0.001865;25.361551;23.361551;80868;79923;0.002516;13.942759;13.779827
5900;85776;93824;0.008756;14.538305;15.902373;17402050;11798;0.060996;2949.500000;1.999661;8358786;8358786;0.042910;1416.743408;1416.743408;149954;138154;0.002066;25.415932;23.415932;83762;83848;0.002795;14.196949;14.211525
6000;87627;91789;0.007919;14.604500;15.298166;17997000;11998;0.054760;2999.500000;1.999667;8671184;8671184;0.036039;1445.197388;1445.197388;152805;140805;0.001835;25.467501;23.467501;84837;85216;0.002381;14.139500;14.202666
6100;89003;95851;0.008136;14.590655;15.713279;18601950;12198;0.057885;3049.500000;1.999672;8969343;8969343;0.035017;1470.384155;1470.384155;155580;143380;0.002040;25.504917;23.504917;86328;86727;0.002512;14.152131;14.217541
6200;90660;95291;0.008143;14.622581;15.369516;19216900;12398;0.056500;3099.500000;1.999677;9272233;9272233;0.033000;1495.521484;1495.521484;158434;146034;0.001953;25.553871;23.553871;87656;88012;0.002453;14.138064;14.195484
6300;94094;102078;0.007447;14.935555;16.202858;19841850;12598;0.050677;3149.500000;1.999683;9565781;9565781;0.029554;1518.377930;1518.377930;161362;148762;0.001697;25.613016;23.613016;90124;93443;0.002167;14.305397;14.832222
6400;93120;101427;0.007703;14.550000;15.847969;20476800;12798;0.052255;3199.500000;1.999688;9843725;9843725;0.030311;1538.082031;1538.082031;164122;151322;0.001746;25.644062;23.644062;90535;91443;0.002366;14.146093;14.287969
6500;95785;105792;0.007768;14.736154;16.275692;21121750;12998;0.055507;3249.500000;1.999692;10143818;10143818;0.032056;1560.587402;1560.587402;166994;153994;0.001909;25.691385;23.691385;92603;95159;0.002439;14.246615;14.639846
